,introduction,url,price,unit_price,community,street,room_type,acreage,toward,decoration,floor_type,floor_total,year,type,follow,release_time
0,"天马河公馆  地铁口  业主急卖,东南对流",https://gz.lianjia.com/ershoufang/108400823463.html,158,17025,天马丽苑二期 ,铁路西,3室2厅,92.81,北,精装,中楼,35,2015,塔楼,14,26天以前发布
1,花都体育馆旁 翡翠小区 机场大巴沿线 机场上班族福音,https://gz.lianjia.com/ershoufang/108400845775.html,135,14216,翡翠小区 ,旧区,3室2厅,94.97,北,简装,中楼,10,-,板楼,7,16天以前发布
2,金碧御水山庄温馨两房阳光充足装修保养好,https://gz.lianjia.com/ershoufang/108400695261.html,51,7686,金碧御水山庄 ,狮岭镇,2室2厅,66.36,西,精装,高楼,6,-,塔楼,63,2个月以前发布
3,花都湖湿地公园、花果山地铁口旁、新装修、总价低,https://gz.lianjia.com/ershoufang/108400789983.html,28,9811,金联市场 ,旧区,1室0厅,28.54,北,精装,中楼,8,-,塔楼,40,1个月以前发布
4,实用小复式，可灵活多变户型，采光通风好,https://gz.lianjia.com/ershoufang/108400239481.html,62,14191,宝铼雅居 ,铁路西,1室1厅,43.69,西北,毛坯,中楼,14,2013,塔楼,5,10个月以前发布
5,广州雅居乐品牌 精装三房 花都中轴线 融创城,https://gz.lianjia.com/ershoufang/108400463423.html,135,13918,雅居乐·岭会 ,狮岭镇,3室2厅,97,东南,精装,低楼,32,-,塔楼,12,6个月以前发布
6,新马赛克外墙  小三房 81万,https://gz.lianjia.com/ershoufang/108400567221.html,75.8,12632,商业大道 ,新区,3室2厅,60.01,南,简装,低楼,8,1996,塔楼,18,4个月以前发布
7,自由人花园一期 正南向中高楼层2房,https://gz.lianjia.com/ershoufang/108400688287.html,174,20735,自由人花园 ,镜湖大道,2室1厅,83.92,南,精装,中楼,26,2014,塔楼,10,2个月以前发布
8,花城路三房低层地铁口 满五唯一物业 交通便利,https://gz.lianjia.com/ershoufang/108400794444.html,77,10000,花城路 ,旧区,3室1厅,77,东,简装,低楼,7,-,-,15,1个月以前发布
9,万达商圈，芙蓉春晓，满两年税费低,https://gz.lianjia.com/ershoufang/108400660526.html,132,12816,芙蓉春晓 ,狮岭镇,3室2厅,103,南 北,毛坯,高楼,29,2015,塔楼,5,3个月以前发布
