,introduction,url,price,unit_price,community,street,room_type,acreage,toward,decoration,floor_type,floor_total,year,type,follow,release_time
0,精装修两房 可以使用管道煤气 交通便利,https://gz.lianjia.com/ershoufang/108400812088.html,310,41060,马赛国际公寓 ,珠江新城东,2室1厅,75.5,西北,精装,中楼,33,2006,塔楼,29,1个月以前发布
1,珠江新城 隽峰苑 毛坯房 全景珠江公园 让人心旷神怡,https://gz.lianjia.com/ershoufang/108400295642.html,1560,65823,隽峰苑 ,珠江新城中,5室2厅,237,东,毛坯,中楼,32,2008,塔楼,72,9个月以前发布
2,骏景花园  北苑  正规三房带主套   西向采光好,https://gz.lianjia.com/ershoufang/108400593051.html,495,49500,骏景花园 ,棠下,3室1厅,100,西,精装,中楼,12,2000,塔楼,30,4个月以前发布
3,天平架地铁 实用3房  南北对流 安静舒适  一梯3户,https://gz.lianjia.com/ershoufang/108400861023.html,208,27793,省粮油宿舍 ,沙太南,3室1厅,74.84,西南,精装,中楼,9,-,塔楼,12,11天以前发布
4,中怡城市花园  华阳两房 地铁200米 三地铁,https://gz.lianjia.com/ershoufang/108400658500.html,475,79167,中怡城市花园 ,林和,2室2厅,60,东北,简装,低楼,32,2004,塔楼,24,3个月以前发布
5,育龙居3房，满五年唯一，业主自住，保养好,https://gz.lianjia.com/ershoufang/108400799207.html,315,36287,育龙居 ,龙洞,3室2厅,86.81,东北,精装,中楼,9,1999,塔楼,9,1个月以前发布
6,华阳本部 100米方便户交通便利  配套完善,https://gz.lianjia.com/ershoufang/108400865686.html,560,56463,信成小区 ,体育中心,4室2厅,99.18,北 东北,精装,低楼,8,1995,塔楼,17,9天以前发布
7,华景新城 二期 电梯两房 安静不吵 楼层好,https://gz.lianjia.com/ershoufang/108400493635.html,305,45266,华景新城瑞景楼 ,华景新城,3室2厅,67.38,北,简装,中楼,9,1994,塔楼,64,5个月以前发布
8,易丰大厦 方正两房 看房方便 采光好,https://gz.lianjia.com/ershoufang/108400735182.html,308,49139,易丰大厦 ,天河公园,2室1厅,62.68,西,精装,中楼,18,2010,塔楼,36,2个月以前发布
9,南国嘉园两房 户型方正 采光通风好 交通方便,https://gz.lianjia.com/ershoufang/108400820415.html,230,43112,南国嘉园 ,东圃,2室1厅,53.35,东北,精装,中楼,24,2005,塔楼,29,28天以前发布
10,精选华景三期房源，小区环境好，出行交通方便,https://gz.lianjia.com/ershoufang/108400858442.html,360,41983,华景新城叠翠居 ,华景新城,2室2厅,85.75,西北,简装,低楼,9,1994,塔楼,4,12天以前发布
11,富力天朗明居方正两房，厅出大阳台,https://gz.lianjia.com/ershoufang/108400787047.html,303,43460,富力天朗明居S区 ,棠下,2室2厅,69.72,西,精装,低楼,18,2001,塔楼,15,1个月以前发布
12,保利心语 西向望花园 高层两房 保养新 户型实用,https://gz.lianjia.com/ershoufang/108400023498.html,630,85239,保利心语花园 ,珠江新城中,2室1厅,73.91,西,精装,中楼,32,2009,塔楼,119,一年前发布
13,华南理工大学宿舍南秀村 3室1厅 430万,https://gz.lianjia.com/ershoufang/108400815574.html,430,66812,华南理工大学宿舍南秀村 ,五山,3室1厅,64.36,南,简装,中楼,8,2003,塔楼,2,30天以前发布
14,小区安静 楼层适中 楼距宽  通风采光好,https://gz.lianjia.com/ershoufang/108400739918.html,280,56248,邮通小区 ,华景新城,2室1厅,49.78,东,简装,中楼,8,1990,塔楼,7,2个月以前发布
15,体院教师大院整改东风公园旁边总层高5楼房子在2楼。,https://gz.lianjia.com/ershoufang/108400517478.html,380,36023,水荫横路 ,水荫,3室2厅,105.49,东 南 北,简装,中楼,5,1994,暂无数据,125,5个月以前发布
16,车陂南金融城旁 厅直出阳台高层两房 视野好,https://gz.lianjia.com/ershoufang/108400774447.html,342,43723,富力天朗明居N区 ,棠下,2室2厅,78.22,东北,精装,中楼,26,2002,塔楼,20,1个月以前发布
17,棠德花园 高层复式 适合年青人群体,https://gz.lianjia.com/ershoufang/108400250152.html,169,26548,棠德花园 ,棠下,3室2厅,63.66,西北,简装,高楼,9,1997,塔楼,204,9个月以前发布
18,华景新城三期、户型方正、采光通风好,https://gz.lianjia.com/ershoufang/108400689345.html,360,48368,华景新城翡翠居 ,华景新城,2室2厅,74.43,南 北,精装,低楼,9,1995,塔楼,38,2个月以前发布
19,润华大厦  望白云山 安静三房,https://gz.lianjia.com/ershoufang/108400813522.html,465,51473,润华大厦 ,天润路,3室1厅,90.34,东北,精装,高楼,26,2000,塔楼,10,31天以前发布
20,天朗明居  安静两房 厅直出大阳台,https://gz.lianjia.com/ershoufang/108400406706.html,289,47920,富力天朗明居S区 ,棠下,2室1厅,60.31,西南,精装,高楼,18,2001,塔楼,54,7个月以前发布
21,天朗明居东南向望花园两房 光线好 精装修 中楼层,https://gz.lianjia.com/ershoufang/108400841596.html,322,49539,富力天朗明居N区 ,棠下,2室1厅,65,东南,精装,中楼,26,2002,塔楼,5,18天以前发布
22,旭景家园 三房 通风采光好 中间楼层,https://gz.lianjia.com/ershoufang/108400718888.html,310,38524,旭景家园B区 ,东圃,3室1厅,80.47,北,简装,中楼,15,2002,塔楼,49,2个月以前发布
23,优选房源 天河区南向三房 双地铁天河客运站800米,https://gz.lianjia.com/ershoufang/108400057513.html,255,31098,南兴花园(天河区) ,天河客运站,3室2厅,82,东南,简装,高楼,7,2004,塔楼,147,一年前发布
24,房子是正规3房，高楼层，视野开阔，望华景新城夜景,https://gz.lianjia.com/ershoufang/108400571328.html,389,46310,喜洋居 ,华景新城,3室1厅,84,东北,简装,中楼,21,2006,塔楼,22,4个月以前发布
25,富力天朗明居 南向两房 满五 格局方正望花园,https://gz.lianjia.com/ershoufang/108400688987.html,310,47539,富力天朗明居N区 ,棠下,2室2厅,65.21,南,精装,低楼,26,2002,塔楼,21,2个月以前发布
26,华工校内3房81平方。380万。南北对流,https://gz.lianjia.com/ershoufang/108400516158.html,370,45742,华南理工大学宿舍西二区 ,五山,3室1厅,80.89,南,简装,高楼,4,2003,板楼,35,5个月以前发布
27,黄村BRT旁 远洋明苑 电梯三房 业主自住 基本随时可看,https://gz.lianjia.com/ershoufang/108400862519.html,315,33158,远洋明苑 ,东圃,3室1厅,95,东北,精装,中楼,18,2004,塔楼,11,10天以前发布
28,信华花园 安静三房望花园 中高楼层 采光好,https://gz.lianjia.com/ershoufang/108400546447.html,500,55261,华景新城信华花园 ,华景新城,3室1厅,90.48,西北,精装,高楼,31,2012,塔楼,51,5个月以前发布
